kode,uraian,is_priority,uraian_natural
000,umum,False,
000.1,ketatausahaan dan kerumahtanggaan,False,
000.1.1,telekomunikasi,True,"Permohonan pengadaan telepon kantor, laporan gangguan jaringan internet, permohonan perbaikan saluran telepon, pengajuan pembelian pulsa untuk keperluan kantor"
000.1.2,perjalanan dinas dalam negeri,True,"Permohonan perjalanan dinas, laporan perjalanan dinas, pengajuan biaya perjalanan dinas, surat tugas perjalanan dinas"
000.1.2.1,perjalanan dinas kepala daerah,True,"Permohonan perjalanan dinas kepala daerah, laporan perjalanan dinas kepala daerah, pengajuan anggaran perjalanan dinas kepala daerah, surat tugas perjalanan dinas kepala daerah"
000.1.2.2,perjalanan dinas dprd,True,"Permohonan perjalanan dinas Dprd, laporan perjalanan dinas Dprd, pengajuan biaya perjalanan dinas Dprd, surat tugas perjalanan dinas Dprd"
000.1.2.3,perjalanan dinas pegawai,True,"Permohonan perjalanan dinas, laporan perjalanan dinas, pengajuan biaya perjalanan dinas, surat tugas perjalanan dinas"
000.1.3,perjalanan dinas luar negeri,True,"Permohonan perjalanan dinas luar negeri, laporan perjalanan dinas luar negeri, pengajuan biaya perjalanan dinas luar negeri, permohonan cuti untuk perjalanan dinas luar negeri"
000.1.3.1,perjalanan dinas kepala daerah,True,"Permohonan perjalanan dinas luar negeri kepala daerah, laporan perjalanan dinas kepala daerah ke luar negeri, pengajuan anggaran perjalanan dinas luar negeri kepala daerah, surat tanda tamat perjalanan dinas luar negeri kepala daerah"
000.1.3.2,perjalanan dinas dprd,True,"Permohonan perjalanan dinas Dprd ke luar negeri, laporan perjalanan dinas Dprd ke luar negeri, pengajuan anggaran perjalanan dinas Dprd ke luar negeri, surat tugas perjalanan dinas Dprd ke luar negeri"
000.1.3.3,perjalanan dinas pegawai,True,"Permohonan perjalanan dinas luar negeri, laporan perjalanan dinas ke luar negeri, pengajuan biaya perjalanan dinas luar negeri, permohonan cuti untuk perjalanan dinas luar negeri"
000.1.4,penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya,True,"Permohonan penggunaan ruang rapat, Permintaan penggunaan kendaraan dinas, Pengajuan perbaikan fasilitas kantor, Permohonan tempat tinggal rumah dinas"
000.1.5,rapat pimpinan antara lain: notula atau risalah rapat,True,"Notula Rapat Pimpinan, Risalah Rapat Koordinasi, Hasil Keputusan Rapat Pimpinan, Berita Acara Rapat Pengambilan Keputusan"
000.1.6,penyediaan konsumsi,True,"Pengajuan permintaan konsumsi untuk rapat, Permohonan biaya konsumsi untuk acara ulang tahun, Surat permintaan penyediaan makanan dan minuman untuk pertemuan, Pengadaan konsumsi untuk kegiatan pelatihan"
000.1.7,pengurusan kendaraan dinas,True,"Permohonan penggunaan kendaraan dinas, laporan kecelakaan kendaraan dinas, permohonan perawatan kendaraan dinas, pengajuan penggantian suku cadang kendaraan dinas"
000.1.7.1,pengurusan surat-surat kendaraan dinas,True,"Pengajuan surat tanda nomor kendaraan, permohonan perpanjangan STNK, laporan kehilangan surat-surat kendaraan dinas, permohonan penggantian plat nomor kendaraan dinas"
000.1.7.2,pemeliharaan dan perbaikan,True,"Permohonan perbaikan kendaraan dinas, laporan pemeliharaan kendaraan bulanan, pengajuan anggaran perawatan kendaraan, permohonan penggantian suku cadang kendaraan dinas"
000.1.7.3,pengurusan kehilangan dan masalah kendaraan,True,"Laporan kehilangan kendaraan dinas, permohonan penggantian kendaraan dinas yang rusak, pengajuan dana perbaikan kendaraan dinas, laporan inspeksi kendaraan dinas"
000.1.8,pemeliharaan gedung taman dan peralatan kantor,True,"Permohonan perawatan gedung kantor, laporan kerusakan peralatan kantor, pengajuan anggaran pemeliharaan taman, permohonan penggantian peralatan kantor rusak"
